Number of Process,Name of Process,Year Filed,Status,Court,Category,OneNote,,,,,,,,,,,,,,,,,,,
514719433685.24.NM,WRC v. North Minnerado,2024,To Clerk,North Minnerado Supreme Court,Civil,,.,.,.,.,Civil (Record),,2022,,,Third Circuit of Appeals,,,,,,,,,
,,2026,Pendent,Serena Supreme Court,Civil (Labor),,.,.,.,.,Criminal (Felony),,2023,,,Fourth Circuit of Appeals,,,,,,,,,
,,2026,Pendent,Umanois Supreme Court,Criminal (Felony),,.,.,.,.,Family (Record),,2024,,,Fifth Circuit of Appeals,,,,,,,,,
,,2026,To Clerk,St.Joshep Criminal Superior Court,Criminal (Felony),C:\Users\gugam\Downloads\St.Joshep Primary.txt,.,.,.,.,Family (Special),,2025,,,Sixth Circuit of Appeals,,,,,,,,,
,,2026,Pendent,North Fortissi Supreme Court,Criminal (Felony),,.,.,.,.,Family (Surrogate),,2026,,,Seventh Circuit of Appeals,,,,,,,,,
201989600146.26.BM,Berma v. Marina,2026,Terminated,Berma Court of Appeals,Civil,https://1drv.ms/o/c/e2bc691368a3a85d/IgBdqKNoE2m8IIDizQQAAAAAAS5xDfZ6spQeVG30JIVmoII?e=GvEtcQ,.,.,.,.,Juvenile (Felony),,,,,Federal Circuit of Appeals,,,,,,,,,
201989600146.26.BM,Berma v. Marina Summary,2026,Pendent,Berma Supreme Court,Civil,https://1drv.ms/o/c/e2bc691368a3a85d/IgBdqKNoE2m8IIDizQQAAAAAAS5xDfZ6spQeVG30JIVmoII?e=GvEtcQ,.,.,.,.,Juvenile (Surrogate),,,,,Armed Forces Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,Misdemeanor,,,,,Berma Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,Probate & Estate,,,,,Comuna Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,Probate & Estate (Record),,,,,Court of Criminal Appeals,,,,,,,,,
,,,,,,,.,.,.,.,Small Claims,,,,,Courtney Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,Small Claims (Labor),,,,,Distrito de Morette High Court,,,,,,,,,
,,,,,,,.,.,.,.,Small Claims (Record),,,,,Faughtar East Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,Traffic,,,,,Faughtar West Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Karleta Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Kentey Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Kursenai Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Leonor Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Louise Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Minnerville Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Miteola Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,New Heale Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,New Missikota Supreme Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,North Fortissi Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,North Minnerado Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Olympia Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Saun North Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Saun South Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Serena Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,South Fortissi Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,South Minnerado Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,St. Joshep Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,St.Joshep Criminal Superior Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Umanois Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Vershire Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Vilnius Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Washoma Supreme Court,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Berma Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Comuna Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Courtney Circuit Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Karleta Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Kentey Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Kursenai Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Leonor Circuit of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Louise Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Minnerville Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Miteola Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,New Heale Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,New Missikota Court of Justice 2nd Instance,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,North Minnerado Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Olympia Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Saun North Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Saun South Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Serena Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,South Fortissi Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,South Minnerado Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,St. Joshep Superior Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Vershire Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Vilnius Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,Washoma Court of Appeals,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,,,,,,,,,,,,,,,
